checkpoint,label,h_res_mode,key,layer,component,n,identity_fro,identity_rmse,identity_mae,identity_max_abs,diag_mass,diag_mass_frac,offdiag_mass,offdiag_mass_frac,offdiag_abs_mean,offdiag_abs_max,total_mass,row_entropy_mean,row_entropy_norm_mean,row_entropy_norm_max,effective_support_mean,row_top1_mass_mean,row_top1_mass_min,row_top2_mass_mean,row_argmax_is_diag_frac,col_argmax_is_diag_frac,symmetry_fro,symmetry_rmse,row_err_max,row_err_mean,col_err_max,col_err_mean,nonneg_violation_max,nonneg_violation_mean,sparsity_abs_lt_0p0001,offdiag_sparsity_abs_lt_0p0001,sparsity_abs_lt_0p001,offdiag_sparsity_abs_lt_0p001,sparsity_abs_lt_0p01,offdiag_sparsity_abs_lt_0p01
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.1.hc_mlp.static_alpha,1,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.2.hc_attn.static_alpha,2,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.2.hc_mlp.static_alpha,2,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.3.hc_attn.static_alpha,3,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.3.hc_mlp.static_alpha,3,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.4.hc_attn.static_alpha,4,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.4.hc_mlp.static_alpha,4,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.5.hc_attn.static_alpha,5,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.5.hc_mlp.static_alpha,5,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,6.676377233816311e-05,1.6690943084540777e-05,1.4413662938750349e-05,3.153085708618164e-05,3.999884605407715,0.9999711513519287,0.00011540281411726028,2.885070352931507e-05,9.616901479603257e-06,1.198485551867634e-05,4.0,0.0003619570634327829,0.0002610968076623976,0.00027741104713641107,1.0003620386123657,0.9999711513519287,0.9999692440032959,0.999981701374054,1.0,1.0,2.4437217689410318e-06,6.109304422352579e-07,7.748603820800781e-07,4.3213367462158203e-07,2.0265579223632812e-06,1.2814998626708984e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.00018913226085714996,4.728306521428749e-05,3.702546382555738e-05,9.810924530029297e-05,3.9997005462646484,0.9999251365661621,0.0002930133487097919,7.325333717744797e-05,2.4417779059149325e-05,7.235826342366636e-05,3.9999935626983643,0.0008270993130281568,0.0005966260214336216,0.0007862416678108275,1.000827431678772,0.999926745891571,0.9999030232429504,0.9999679923057556,1.0,1.0,6.944553751964122e-05,1.7361384379910305e-05,2.384185791015625e-06,1.6093254089355469e-06,2.86102294921875e-06,1.5944242477416992e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0002568968047853559,6.422420119633898e-05,4.6810979256406426e-05,0.00013136863708496094,3.9996228218078613,0.9999057054519653,0.0003716186620295048,9.29046655073762e-05,3.0968221835792065e-05,0.00011677962902467698,3.9999942779541016,0.0010002960916608572,0.0007215611403807998,0.001007209299132228,1.0010008811950684,0.9999070763587952,0.9998688101768494,0.9999703168869019,1.0,1.0,0.0001274219248443842,3.185548121109605e-05,6.139278411865234e-06,2.130866050720215e-06,6.020069122314453e-06,3.382563591003418e-06,0.0,0.0,0.6875,0.9166666865348816,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.1.hc_mlp.static_alpha,1,mlp,4.0,0.00028257514350116253,7.064378587529063e-05,5.005294951843098e-05,0.00013202428817749023,3.999598503112793,0.9998996257781982,0.0003993502468802035,9.983756172005087e-05,3.3279186027357355e-05,0.00012448096822481602,3.999998092651367,0.0010434581199660897,0.0007526959525421262,0.0009475141996517777,1.0010440349578857,0.9999001026153564,0.999872088432312,0.999989926815033,1.0,1.0,4.826938675250858e-05,1.2067346688127145e-05,4.112720489501953e-06,1.5944242477416992e-06,1.9073486328125e-06,7.003545761108398e-07,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.2.hc_attn.static_alpha,2,attn,4.0,0.0004208929021842778,0.00010522322554606944,7.599719538120553e-05,0.0001723170280456543,3.999390125274658,0.9998475313186646,0.0006059015868231654,0.00015147539670579135,5.049179890193045e-05,0.0001634157233638689,3.999995708465576,0.0015184441581368446,0.001095325918868184,0.001222447375766933,1.0015196800231934,0.999848484992981,0.9998300671577454,0.9999909400939941,1.0,1.0,1.679015622357838e-05,4.197539055894595e-06,2.384185791015625e-06,1.9669532775878906e-06,2.7418136596679688e-06,1.7285346984863281e-06,0.0,0.0,0.5,0.6666666865348816,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.2.hc_mlp.static_alpha,2,mlp,4.0,0.00027091274387203157,6.772817869205028e-05,3.9711820136290044e-05,0.00014287233352661133,3.9996814727783203,0.9999203681945801,0.0003168619005009532,7.92154751252383e-05,2.6405157768749632e-05,0.00013255687372293323,3.9999983310699463,0.0008246210054494441,0.0005948383477516472,0.0010800918098539114,1.0008251667022705,0.9999207854270935,0.9998558163642883,0.9999890923500061,1.0,1.0,5.082686402602121e-05,1.2706716006505303e-05,4.112720489501953e-06,1.7881393432617188e-06,1.0132789611816406e-06,5.513429641723633e-07,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.3.hc_attn.static_alpha,3,attn,4.0,0.00020125725131947547,5.031431282986887e-05,3.0786817660555243e-05,0.00011599063873291016,3.9997506141662598,0.9999376535415649,0.0002430840686429292,6.07710171607323e-05,2.02570063265739e-05,9.174185106530786e-05,3.9999935626983643,0.0006546680233441293,0.0004722431767731905,0.0008790801512077451,1.000654935836792,0.9999392032623291,0.9998863339424133,0.999988317489624,1.0,1.0,2.8863752959296107e-05,7.215938239824027e-06,4.5299530029296875e-06,1.8328428268432617e-06,4.76837158203125e-06,1.8328428268432617e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.3.hc_mlp.static_alpha,3,mlp,4.0,0.00025241266121156514,6.310316530289128e-05,3.800202102866024e-05,0.00014775991439819336,3.9996955394744873,0.9999238848686218,0.0003034526016563177,7.586315041407943e-05,2.528771619836334e-05,0.00011258832819294184,3.9999990463256836,0.000795771018601954,0.0005740274791605771,0.0011052038753405213,1.0007963180541992,0.9999241232872009,0.9998530149459839,0.9999887943267822,1.0,1.0,1.0741335245256778e-05,2.6853338113141945e-06,2.2649765014648438e-06,1.385807991027832e-06,3.635883331298828e-06,1.5348196029663086e-06,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.4.hc_attn.static_alpha,4,attn,4.0,0.00029969337629154325,7.492334407288581e-05,4.563253605738282e-05,0.0001805424690246582,3.999634265899658,0.9999085664749146,0.00036414811620488763,9.103702905122191e-05,3.0345676350407302e-05,0.00012661497748922557,3.999998092651367,0.0009362405980937183,0.000675354793202132,0.0013325897743925452,1.0009369850158691,0.999908983707428,0.999819815158844,0.9999861121177673,1.0,1.0,3.0428068384935614e-06,7.607017096233903e-07,1.7285346984863281e-06,1.2367963790893555e-06,2.1457672119140625e-06,8.344650268554688e-07,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.4.hc_mlp.static_alpha,4,mlp,4.0,0.00029740517493337393,7.435129373334348e-05,4.6427903725998476e-05,0.00018334388732910156,3.9996285438537598,0.9999071359634399,0.00037127110408619046,9.281777602154762e-05,3.093925988650881e-05,0.00011758394248317927,4.0,0.0009580123005434871,0.0006910598604008555,0.001355668529868126,1.0009586811065674,0.9999071359634399,0.9998171925544739,0.9999828338623047,1.0,1.0,2.2056844954931876e-06,5.514211238732969e-07,7.748603820800781e-07,5.960464477539062e-07,1.3113021850585938e-06,9.08970832824707e-07,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.5.hc_attn.static_alpha,5,attn,4.0,0.000442008109530434,0.0001105020273826085,7.49369355617091e-05,0.00029331445693969727,3.9994001388549805,0.9998500347137451,0.0005991297075524926,0.00014978242688812315,4.9927475629374385e-05,0.00015986128710210323,3.9999992847442627,0.0015232076402753592,0.001098762033507228,0.002128796186298132,1.001524806022644,0.9998502731323242,0.9997082948684692,0.9999615550041199,1.0,1.0,2.081653474306222e-05,5.204133685765555e-06,1.6093254089355469e-06,1.2665987014770508e-06,2.2649765014648438e-06,1.296401023864746e-06,0.0,0.0,0.5625,0.75,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.5.hc_mlp.static_alpha,5,mlp,4.0,0.0002767907571978867,6.919768929947168e-05,5.066317680757493e-05,0.00017702579498291016,3.9995970726013184,0.9998992681503296,0.00040762382559478283,0.00010190595639869571,3.396865213289857e-05,8.528438047505915e-05,4.000004768371582,0.0010888283140957355,0.0007854236755520105,0.0013725622557103634,1.0010894536972046,0.9998980760574341,0.9998217821121216,0.9999719858169556,1.0,1.0,0.00011084184370702133,2.771046092675533e-05,3.2186508178710938e-06,1.9371509552001953e-06,2.7418136596679688e-06,1.1622905731201172e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,4.738533334602835e-06,1.1846333336507087e-06,9.484127758696559e-07,2.1457672119140625e-06,3.999997615814209,0.9999994039535522,-3.303318862890592e-08,-8.25829715722648e-09,7.132073847060383e-07,2.1281464341882383e-06,3.999997615814209,1.585584323038347e-05,1.1437572538852692e-05,1.938469176820945e-05,1.0000158548355103,0.999998927116394,0.9999982118606567,0.9999997615814209,1.0,1.0,4.481688392843353e-06,1.1204220982108382e-06,1.430511474609375e-06,5.960464477539062e-07,3.7550926208496094e-06,2.4884939193725586e-06,2.1281464341882383e-06,2.68485052856704e-07,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.0005799781647510827,0.00014499454118777066,0.00010545533586991951,0.00036041109706275165,3.999849796295166,0.9999624490737915,0.0001467137481085956,3.66784370271489e-05,0.00010527647100389004,0.00036041109706275165,3.9999966621398926,0.0017208859790116549,0.0012413568329066038,0.002795756794512272,1.0017231702804565,0.9998237490653992,0.9995781183242798,0.999968409538269,1.0,1.0,0.0008023899863474071,0.00020059749658685178,1.5497207641601562e-06,9.238719940185547e-07,2.4437904357910156e-06,1.8775463104248047e-06,0.00031301673152484,3.489387017907575e-05,0.5,0.6666666865348816,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-signed-sprox-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-signed-sprox-4streams-10000iter,alm_signed_sprox,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0005653155967593193,0.00014132889918982983,0.00010655822552507743,0.0003101731126662344,4.000037670135498,1.0000094175338745,-2.7317353669786826e-05,-6.8293384174467064e-06,0.00012108189548598602,0.0003101731126662344,4.0000104904174805,0.0017283875495195389,0.0012467680498957634,0.002030609641224146,1.00173020362854,0.9998217821121216,0.9996899366378784,0.9999780058860779,1.0,1.0,0.0009785071015357971,0.0002446267753839493,1.7404556274414062e-05,6.139278411865234e-06,6.794929504394531e-06,4.0531158447265625e-06,0.0002997776900883764,4.625937435775995e-05,0.4375,0.5833333134651184,0.75,1.0,0.75,1.0
